booking_uuid,auction_corridor_min_price,auction_corridor_max_price,auction_winning_price
7e2e23f2-9559-4ba3-baa3-46a0ddde7634,102.73,121.61,102.39
8afb5153-5391-4829-a95f-557259aa0e33,65.00,80.00,65.00
9b4e0293-8a6b-440e-a7bf-07621349aa03,94.64,102.62,109.72
9bf0e273-d50d-4cbf-8f04-9203b850449c,74.22,98.72,74.22
a6c9d94a-dacb-4cd4-8788-9597c606fa06,74.04,83.71,74.04
6aa29747-b2ab-460f-9ade-105b2036f742,92.25,117.31,92.25
6b0312ec-0f0a-4873-be54-32afdb999069,488.18,563.51,488.18
8819650b-8673-4802-b86e-56df8d8c0519,84.33,91.87,84.33
8bc0fbde-f0eb-4879-8c12-7c7e026252f5,63.06,83.47,65.00
903d3dc9-cdd9-41e7-85bf-f2c49b30280a,18.78,27.52,49.50
6adc6d23-0efa-419d-b674-83e6b6c3a6ba,168.82,232.18,234.48
6b40e459-0803-4129-929e-a47f08b85b0f,69.18,93.53,100.83
7afb4318-ca71-43f4-8815-292ca2c330fa,64.31,80.72,76.29
227f6747-bfc6-4d6c-ac13-bdebc8888a0c,94.47,110.70,94.47
587c9732-7aea-4466-8c67-d877a1883bb6,58.81,82.56,90.00
7fdcba8a-1867-4aff-80ab-585509441ccf,69.83,85.35,82.00
ffe9d773-4441-4d9f-ad56-607f653b9e82,62.01,86.37,86.31
0530c9ae-10cf-4006-894c-4ab316953541,34.59,41.25,51.00
0f07c17e-f525-43cb-9bda-48616aee04ba,125.27,176.78,125.27
1ffd9869-25d6-49d0-81a4-0115012e9e5a,163.92,182.55,261.36
4af0a364-b4b3-4997-aebc-4f8f8562d3e5,95.21,115.14,97.70
5123d390-9c61-4cb1-969a-a3e977476211,71.32,99.25,93.50
2184b2fb-449c-4fc7-bec2-62e4876062f1,75.83,89.92,113.16
491dbf69-eee9-462c-a084-38b39cc638ab,110.88,131.92,124.86
62332a13-4aef-4d5d-9eb3-bee6f7634236,65.00,85.06,74.00
1a0fe91b-ecb5-4778-aee5-3a62d7bfac0c,44.27,55.73,50.62
2e2a2cdd-e0b8-49cc-a741-888ede4e5228,217.50,250.36,194.40
2e608a6e-74f5-4d0b-85d9-9fe5e04d947e,122.44,186.35,122.44
55684272-7b71-4642-9ea4-61bd154c8449,48.39,60.57,47.25
