booking_uuid,booker_uuid,chauffeur_uuid,booked_start_at,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,booked_duration,booked_distance,gross_revenue_eur
ffec3054-def0-48ae-94e0-521a64f01dca,a8a51af1-922f-5e1f-7f99-311d6f197995,b5f6a63a-3246-5d84-8148-b40271d628d1,2024-10-12 11:40:00,-3.5937,40.4915,-3.6986,40.4165,1675,18624,0.00
75e21bbc-36d4-4e4b-9a13-6965ac19d761,a42c7afb-17df-59f0-afc4-d079e137360b,fe9bf15e-03a1-5c97-8678-0e1ef2206511,2024-10-12 18:55:00,-9.1281,38.7699,-8.6826,39.6342,4078,118570,43.90
84e28c21-3171-411d-9190-a6ebdb005a25,4d46b3a3-75d9-5cb8-9ec1-1fce5c6e2c33,f82ac7e3-2d9b-561b-9c19-06da5ff0118e,2024-10-12 15:35:00,-0.0011,51.5429,-0.4542,51.4716,4887,41613,153.56
9be53098-14b0-40d6-a182-8ca4ff519ccd,76460ce4-4d9d-5e62-a4eb-18502c79cd33,86951c3b-afef-582d-b13e-42dd37832ac1,2024-10-12 0:00:00,-80.1045,26.1286,-80.1448,26.0714,1152,11399,162.41
c6b13d4e-600f-4251-a7b2-2a0df93651ce,35ac6be5-4430-574f-9319-eb9f79805427,32e3db36-0f6f-53c8-92dd-f50728b70b80,2024-10-12 21:00:00,-74.5483,40.3317,-73.7861,40.6452,4428,100187,201.41
c8fae6f8-2f31-4ec0-9729-8cabd631b1f6,bc409006-e7d9-546d-98d9-1bfbff51be39,4109d3f7-5f11-5335-ab0d-300f437285c1,2024-10-12 16:10:00,-0.4542,51.4716,-1.4036,50.9133,4352,105942,243.12
cf08073a-7dc9-4151-8b92-d3c01e49d2e0,35ac6be5-4430-574f-9319-eb9f79805427,28696f74-a78a-5d82-8946-4f4535afc675,2024-10-12 1:15:00,-80.1328,25.7698,-80.2871,25.7959,1807,24137,146.28
6505fba6-c3f1-45d1-9a3e-95d461c2cae3,f3f80376-0153-59ce-b88b-658b6d26128a,e91aa4b0-b6a2-5d10-8c02-4ca781cd15b1,2024-10-12 19:05:00,55.3554,25.2461,55.2832,25.2280,834,11466,62.75
70eeda43-a558-4195-9dc5-89106e122a67,1bb3cb18-891c-5708-9058-b793b2556e6f,61e217bd-5d4f-55ea-7f06-47457224ff60,2024-10-12 18:00:00,72.8359,19.1413,72.8744,19.0996,1469,9224,19.93
7ee870ef-1d17-4907-88b4-1573c742ac24,1bb3cb18-891c-5708-9058-b793b2556e6f,b3ee965a-70c3-5267-8f31-664f79b42e55,2024-10-12 15:15:00,78.4296,17.2368,78.3359,17.4668,2711,35279,38.35
